,name,name_ticker,lenticker,description
418,Cvent,cvt,3.0,
419,CyberArk,CYBR,4.0,"CyberArk Software Ltd., together with its subsidiaries, develops, markets, and sales software-based security solutions and services in the United States, Europe, the Middle East, Africa, and internationally. Its solutions include Privileged Access Manager that offers risk-based credential security and session management to protect against attacks involving privileged access; Vendor Privileged Access Manager, which combines Privileged Access Manager and Remote Access to provide fast, easy, and secure privileged access to third-party vendors; Endpoint Privilege Manager, a SaaS service that secures privileges on the endpoint; and Cloud Entitlements Manager, a SaaS solution, which reduces risk that arises from excessive privileges by implementing least privilege across cloud environments. The company also offers robust Identity and Access Management as a Service that provides artificial intelligence based and security-first approach to manage identities, such as workforce identity, which offers adaptive multi-factor authentication (MFA), single sign-on, application gateway, identity lifecycle management, and directory services; and customer identity services that provides authentication and authorization services, MFA, directory, and user management to enable organizations to provide their customers with easy and secure access to websites and applications. In addition, it offers Secrets Manager Credential Providers to provide and manage the credentials used by third-party solutions; and Secrets Manager Conjur for cloud-native applications. The company offers its products to financial services, manufacturing, insurance, healthcare, energy and utilities, transportation, retail, technology, and telecommunications industries; and government agencies through direct sales force, as well as distributors, systems integrators, value-added resellers, and managed security service providers. CyberArk Software Ltd. was founded in 1999 and is headquartered in Petah Tikva, Israel."
421,Cyclacel Pharmaceuticals,CYCC,4.0,"Cyclacel Pharmaceuticals, Inc., a clinical-stage biopharmaceutical company, develops medicines for the treatment of cancer and other proliferative diseases. The company's oncology development programs include fadraciclib, a cyclin dependent kinase Inhibitors (CDK) that is in Phase I clinical trial for the treatment of solid tumors, as well as in combination with venetoclax to treat relapsed or refractory chronic lymphocytic leukemia; and CYC140, a polo-like kinase inhibitor program, which is in Phase I clinical trial for the treatment of advanced leukemias. Its oncology development programs also comprise Sapacitabine, an orally available prodrug of CNDAC, which is a novel nucleoside analog. In addition, the company's oncology development programs include seliciclib, a CDK inhibitor. It has a clinical collaboration agreement with the University of Texas MD Anderson Cancer Center to clinically evaluate the safety and efficacy of three cyclacel medicines in patients with hematological malignancies, including chronic lymphocytic leukemias, acute myeloid leukemias, myelodysplastic syndromes, and other advanced leukemias. Cyclacel Pharmaceuticals, Inc. was founded in 1992 and is headquartered in Berkeley Heights, New Jersey."
422,CymaBay Therapeutics,cbay,4.0,"CymaBay Therapeutics, Inc., a clinical-stage biopharmaceutical company, focuses on developing and providing therapies to treat liver and other chronic diseases. Its lead product candidate is seladelpar (MBX-8025), a selective agonist of peroxisome proliferator activated receptor delta, which has completed Phase II clinical study for the treatments of primary biliary cholangitis, as well as patients with nonalcoholic steatohepatitis. The company also develops MBX-2982, which is in Phase 2a clinical study for the disease/condition of hypoglycemia in type 1 diabetics; and CB-0406, which is in Phase I clinical trial for the inflammation disease/condition. Its preclinical stage product candidate is CB-001, a G protein-coupled receptor for omega-3 fatty acids, such as docosahexaenoic acid for the treatment of gut/liver disease. It has a license agreement with DiaTex, Inc. to develop and commercialize therapeutic products comprising halofenate and its enantiomers, derivatives, and analogs for the treatment of diseases; and holds a worldwide license from Janssen Pharmaceuticals, Inc. to research, develop, and commercialize compounds with activity against an undisclosed metabolic disease target. The company was formerly known as Metabolex, Inc. CymaBay Therapeutics, Inc. was incorporated in 1988 and is headquartered in Newark, California."
425,Cytodyn,cydy,4.0,"CytoDyn Inc. operates as a late-stage biotechnology company. The company focuses on developing treatments for multiple therapeutic indications based on leronlimab, a novel humanized monoclonal antibody targeting the CCR5 receptor. Its Leronlimab is in a class of therapeutic monoclonal antibodies designed to address unmet medical needs in the areas of human immunodeficiency virus (HIV), cancer, immunology, and novel coronavirus disease (COVID-19). The company has completed a Phase 2b pivotal trial using leronlimab in combination with antiretroviral therapies in HIV-infected treatment-experienced patients, as well as completed a Phase 2b/3 investigative trial with leronlimab as a once-weekly monotherapy for HIV-infected patients. It is also conducting a Phase 1b/2 clinical trial with leronlimab in metastatic triple-negative breast cancer. The company was formerly known as RexRay Corporation. CytoDyn Inc. was incorporated in 2002 and is based in Vancouver, Washington."
426,"Cytokinetics, Inc.",CYTK,4.0,"Cytokinetics, Incorporated, a late-stage biopharmaceutical company, focuses on discovering, developing, and commercializing muscle activators and inhibitors as potential treatments for debilitating diseases. The company is developing small molecule drug candidates primarily engineered to increase muscle function and contractility. Its drug candidates include omecamtiv mecarbil, a novel cardiac myosin activator that is in Phase III clinical trial in patients with heart failure; and reldesemtiv, a novel fast skeletal muscle troponin activator, which is in Phase II clinical trial to treat amyotrophic lateral sclerosis and spinal muscular atrophy. The company also develops reldesemtiv that is in Phase II clinical trials in patients with chronic obstructive pulmonary disease, and in Phase Ib clinical trials in elderly subjects with limited mobility. In addition, it develops CK-3773274 (CK-274), a novel cardiac myosin inhibitor, which is in Phase II clinical trial for the potential treatment of hypertrophic cardiomyopathy; CK-136, a novel cardiac troponin activator that is in Phase I clinical trial; and CK-3772271 (CK-271), a novel cardiac myosin inhibitor that is in Phase I clinical trial. The company has a strategic alliance with Astellas Pharma Inc. Cytokinetics, Incorporated was incorporated in 1997 and is headquartered in South San Francisco, California."
427,Nuo Therapeutics,AURX,4.0,"Nuo Therapeutics, Inc., a regenerative therapies company, develops, commercializes, and markets cell-based technologies that harness the regenerative capacity of the human body to trigger natural healing primarily in the United States. Its technology separates autologous blood to produce a platelet based therapy for the chronic wound care market. The company was formerly known as Cytomedix, Inc. and changed its name to Nuo Therapeutics, Inc. in November 2014. Nuo Therapeutics, Inc. was founded in 1998 and is based in Gaithersburg, Maryland."
428,CytomX Therapeutics,ctmx,4.0,"CytomX Therapeutics, Inc. operates as an oncology-focused biopharmaceutical company in the United States. The company develops antibody therapeutics based on its Probody technology platform for the treatment of cancer. The company's product candidates include CX-2009, an antibody drug conjugates (ADC) against CD166, which is in Phase II clinical trials for the treatment of breast cancer; CX-2029 that is in Phase II clinical trials for the treatment of squamous non-small cell lung cancer, head and neck squamous cell carcinoma, esophageal and gastro-esophageal junction cancers, and diffuse large B-cell lymphoma; BMS-986249, a CTLA-4 Probody therapeutic drug, which is in Phase I/II clinical trials for the treatment of metastatic melanoma; and BMS-986288, an anti-CTLA-4 Probody drug, which is in Phase I clinical trials for the treatment of solid tumors. It also develops CX-2043, a conditionally activated ADC targeting the epithelial cell adhesion molecule, as well as CX-904, a conditionally activated epidermal growth factor receptor for the treatment of solid tumor. The company has strategic collaborations with AbbVie Ireland Unlimited Company, Amgen, Inc., Bristol-Myers Squibb Company, ImmunoGen, Inc., Pfizer Inc., and Astellas Pharma Inc. to develop Probody therapeutics. CytomX Therapeutics, Inc. was founded in 2008 and is headquartered in South San Francisco, California."
430,CytRx,cytr,4.0,"CytRx Corporation, a biopharmaceutical research and development company, focuses on oncology and rare diseases. It engages in the discovery, research, and clinical development of novel anti-cancer drug candidates that employ novel linker technologies to enhance the accumulation and release of cytotoxic anti-cancer agents at the tumor. The company's lead candidates include linker activated drug release (LADR) -7, LADR-8, LADR-9, and LADR-10; and Aldoxorubicin, a conjugate of prescribed cytotoxin agent doxorubicin that binds to circulating albumin in the bloodstream and to concentrate the drug at the site of the tumor. It also provides ACDx, an albumin companion diagnostic product to identify patients with cancer who are most likely to benefit from treatment with these drug candidates. CytRx Corporation was incorporated in 1985 and is headquartered in Los Angeles, California."
432,DangDang.com,dang,4.0,
433,DAQO NEW ENERGY CORP,DQ,2.0,"Daqo New Energy Corp., together with its subsidiaries, manufactures and sells polysilicon to photovoltaic product manufactures in the People's Republic of China. The photovoltaic product manufactures further process its polysilicon into ingots, wafers, cells, and modules for solar power solutions. It offers ready-to-use polysilicon, and packaged to meet crucible stacking, pulling, and solidification products. The company was formerly known as Mega Stand International Limited and changed its name to Daqo New Energy Corp. in August 2009. Daqo New Energy Corp. was founded in 2006 and is headquartered in Shanghai, the People's Republic of China."
437,Datawatch Corp,dwch,4.0,
438,DAVIDsTEA,DTEA,4.0,"DAVIDsTEA Inc. operates as a retailer of specialty tea in Canada and the United States. It offers loose-leaf teas, pre-packaged teas, tea sachets, and tea-related gifts; tea accessories, including tea mugs, travel mugs, teacup sets, teapots, tea makers, kettles, infusers, filters, frothers, tins, and spoons; and food and tea beverages. The company provides loose-leaf tea in white, green, oolong, black, pu'erh, mate, rooibos, and herbal tea categories. As of May 04, 2021, it operated through 18 company-owned stores. The company also provides its products its e-commerce platform, davidstea.com; and distributes products through 2,500 grocery stores and pharmacies. DAVIDsTEA Inc. was incorporated in 2008 and is headquartered in Mount Royal, Canada."
439,Day4 Energy,NEE,3.0,"NextEra Energy, Inc., through its subsidiaries, generates, transmits, distributes, and sells electric power to retail and wholesale customers in North America. The company generates electricity through wind, solar, nuclear, and fossil fuel, such as coal and natural gas facilities. It also develops, constructs, and operates long-term contracted assets with a focus on renewable generation facilities, electric transmission facilities, and battery storage projects; and owns, develops, constructs, manages and operates electric generation facilities in wholesale energy markets. As of December 31, 2020, the company operated approximately 28,400 megawatts of net generating capacity. It serves approximately 11 million people through approximately 5.6 million customer accounts in the east and lower west coasts of Florida with approximately 76,200 circuit miles of transmission and distribution lines and 673 substations. The company was formerly known as FPL Group, Inc. and changed its name to NextEra Energy, Inc. in 2010. NextEra Energy, Inc. was founded in 1925 and is headquartered in Juno Beach, Florida."
444,Del Mar Pharmaceuticals,DMPWW,5.0,
446,Delphi,DLPH,4.0,
447,Demand Media,dmd,3.0,
448,Demandware,DWRE,4.0,
449,DeNA,DNACF,5.0,"DeNA Co., Ltd. develops and operates mobile and online services worldwide. The company operates Coopel, a cloud robotic process automation service; Mobage, a platform that hosts free-to-play mobile games; Yahoo! Mobage, which offers games for PC browsers; and AndApp, a platform that allows users to play mobile game apps on PC browsers under the same user account. It also operates Anyca, a mobile app for peer-to-peer car sharing; SOMPO DE NORU, a car leasing service; Easy Ride, a robo-vehicle mobility service; GO, a taxi dispatch app; and DRIVE CHART, an accident reduction support service. In addition, the company offers MYCODE, a direct-to-consumer genetic testing service; kencom, which supports health insurance societies to manage their members' health data; SHOWROOM, a virtual stage where fans can watch their artists perform live while interacting with them in real time; and Pococha, a social live streaming community. Further, it provides Everystar, a mobile website for user-generated novels; Manga Box, a weekly manga magazine app; and Mobaoku that allows users to manage their auction items and bids from their mobile phones. Additionally, the company offers Yokohama DeNA Baystars, DeNA Athletics Elite, and Kawasaki Brave Thunders sports services. DeNA Co., Ltd. was incorporated in 1999 and is headquartered in Tokyo, Japan."
450,DepoMed,depo,4.0,
451,Derma Sciences,dsci,4.0,
453,Dexcom,DXCM,4.0,"DexCom, Inc., a medical device company, focuses on the design, development, and commercialization of continuous glucose monitoring (CGM) systems in the United States and internationally. The company offers its systems for use by people with diabetes, as well as for use by healthcare providers. Its products include DexCom G6, an integrated CGM system for diabetes management; Dexcom G7, a next generation G7 CGM system; and Dexcom Share, a remote monitoring system. DexCom, Inc. has a collaboration and license agreement with Verily Life Sciences LLC and Verily Ireland Limited to develop next-generation CGM products. The company markets its products directly to endocrinologists, physicians, and diabetes educators. DexCom, Inc. was founded in 1999 and is headquartered in San Diego, California."
455,Dicerna Pharmaceuticals,DRNA,4.0,"Dicerna Pharmaceuticals, Inc., a biopharmaceutical company, focuses on the discovery, development, and commercializing of ribonucleic acid interference (RNAi)-based pharmaceuticals. The company develops pharmaceuticals using its GalXC RNAi platform for the treatment of diseases involving the liver, including rare, cardiometabolic, viral, and chronic liver diseases; complement-mediated diseases; and neurodegenerative diseases and pain. Its principal development programs include nedosiran for the treatment of primary hyperoxaluria; RG6346 for the treatment of chronic hepatitis B virus infection; belcesiran for the treatment of deficiency-associated liver disease; and DCR-AUD for the treatment of alcohol use disorder. Dicerna Pharmaceuticals, Inc. has strategic collaborations with Novo Nordisk A/S, F. Hoffmann-La Roche Ltd and Hoffmann-La Roche Inc., Eli Lilly and Company, Alnylam Pharmaceuticals, Inc., Alexion Pharmaceuticals, Inc., and Boehringer Ingelheim International GmbH. The company was incorporated in 2006 and is headquartered in Lexington, Massachusetts."
456,Dick's Sporting Goods,DKS,3.0,"DICK'S Sporting Goods, Inc., together with its subsidiaries, operates as a sporting goods retailer primarily in the eastern United States. It provides hardlines, including sporting goods equipment, fitness equipment, golf equipment, and hunting and fishing gear products; apparel; and footwear and accessories. The company also owns and operates Golf Galaxy, Field & Stream, and other specialty concept stores; and e-commerce websites, as well as GameChanger, a youth sports mobile app for scheduling, communications, and live scorekeeping. As of May 1, 2021, it operated 730 DICK'S Sporting Goods stores. The company was formerly known as Dick'S Clothing and Sporting Goods, Inc. and changed its name to DICK'S Sporting Goods, Inc. in April 1999. DICK'S Sporting Goods, Inc. was founded in 1948 and is headquartered in Coraopolis, Pennsylvania."
457,DigiPath,DIGP,4.0,"DigiPath, Inc., together with its subsidiaries, provides cannabis and hemp lab testing services in Las Vegas to Nevada licensed medical marijuana enterprises. It also provides testing, cannabis education and training, and unbiased cannabis news coverage to the cannabis industry. The company operates as a testing laboratory facility for cannabis, cannabis infused products, hemp, and other botanical nutraceuticals to serve growers, dispensaries, caregivers, producers, patients, and end users of cannabis and botanical products. DigiPath, Inc. was incorporated in 2010 and is headquartered in Las Vegas, Nevada."
458,Digital Ally,DGLY,4.0,"Digital Ally, Inc. produces and sells digital video imaging, storage, and disinfectant and related safety products for use in law enforcement, security, and commercial applications in the United States and internationally. The company offers in-car digital video mirror systems for law enforcement; in-car digital video event recorder systems for commercial fleets; a suite of data management web-based tools to assist fleet managers in the organization, archival, and management of videos and telematics information; miniature body-worn digital video systems for law enforcement and private security; and VuLink, an in-car device that enables an in-car digital audio/video system and a body worn digital audio/video camera system to automatically and simultaneously start recording. It also provides VuVault.net, a law enforcement cloud storage solution; FleetVU Manager, a web-based software for commercial fleet tracking and monitoring; ThermoVu, a non-contact temperature-screening instrument that measures temperature through the wrist and controls entry to facilities when temperature measurements exceed pre-determined parameters; and shield disinfectants and cleansers, as well as other personal protective equipment and supplies, such as masks and gloves to health care workers and other consumers. The company sells its products through direct sales and third-party distributors. Digital Ally, Inc. is headquartered in Lenexa, Kansas."
463,Diodes Incorporated,DIOD,4.0,"Diodes Incorporated designs, manufactures, and supplies application-specific standard products in the discrete, logic, and analog and mixed-signal semiconductor markets worldwide. It primarily focuses on low pin count semiconductor devices with one or more active and/or passive components. The company offers discrete semiconductor products, such as MOSFET, TVS, and performance Schottky rectifiers; GPP bridges and retifiers performance Schottky diodes; Zener and performance Zener diodes, including tight tolerance and low operating current type; standard, fast, super-fast, and ultra-fast recovery rectifiers; bridge rectifiers; switching diodes; small signal bipolar and prebiased transistors; other MOSFETs; thyristor surge protection devices; and transient voltage suppressors. It also provides analog products comprising power management devices consisting of AC-DC and DC-DC converters, USB power switches, and low dropout and linear voltage regulators; linear devices, such as operational amplifiers and comparators, current monitors, voltage references, and reset generators; LED lighting drivers; audio amplifiers; and sensor products, including hall-effect sensors and motor drivers. The company offers mixed-signal products, such as high speed mux/demux products, digital switches, interfaces, redelivers, clock ICs, and packet switches; standard logic products comprising low-voltage complementary metalÂoxideÂsemiconductor (CMOS) and high-speed CMOS devices; ultra-low power CMOS logic products and analog switches; multichip products and co-packaged discrete, analog, and mixed-signal silicon in miniature packages; silicon and silicon epitaxial wafers; and crystals and oscillators. It sells its products to the consumer electronics, computing, communications, industrial, and automotive markets through direct sales and marketing personnel, independent sales representatives, and distributors. The company was incorporated in 1959 and is headquartered in Plano, Texas."
464,Dipexium Pharmaceuticals,dprx,4.0,
468,Document Security Systems,DSS,3.0,"Document Security Systems, Inc. manufactures, markets, and sells packaging and security printing solutions. It operates through four segments: Direct Marketing/Online Sales Group, Premier Packaging, Digital Group, and IP Technology. The company offers printed materials, such as folding cartons and paperboard packaging, security paper, vital records, prescription paper, birth certificates, receipts, identification materials, entertainment tickets, secure coupons, and parts tracking forms; custom packaging services; and manufactures, markets, and sells mailers, photo sleeves, sophisticated custom folding cartons, and 3-dimensional direct mail solutions. It also provides AuthentiGuard, a brand authentication application; manages, licenses, and acquires intellectual property assets for monetizing these assets through investments in the development and commercialization of patented technologies, licensing, strategic partnerships, and commercial litigation. In addition, the company invests and acquires companies in the biohealth and biomedical fields; develops open-air defense initiatives, which curb transmission of air-borne infectious diseases, such as tuberculosis and influenza; and develops and acquires assets and investments in the securities trading and funds management arena. Further, it operates HWHGIG and HWH Marketplace, which are direct selling platforms that offers health, wealth, and happiness products; and markets and distributes health and wellness products under the Elevate brand; and develops blockchain security technologies for tracking and tracing solutions for supply chain logistics and cyber securities. Additionally, the company develops utility-scale solar farms, and secure living solutions; and provides air and surface purification solutions for commercial and residential markets. Document Security Systems, Inc. was incorporated in 1984 and is headquartered in Victor, New York."
472,DSET Corporation,TDS,3.0,"Telephone and Data Systems, Inc., a telecommunications company, provides communications services in the United States. It operates through three segments: UScellular, Wireline, and Cable. The company offers wireless solutions to consumers and business and government customers, including a suite of connected Internet of things (IoT) solutions, and software applications for monitor and control, business automation/operations, communication, asset management, smart water solutions, and end-to-end IoT solutions; wireless priority services and quality priority and preemption options; smartphones and other handsets, tablets, wearables, mobile hotspots, routers, and IoT devices; and accessories, such as cases, screen protectors, chargers, and memory cards, as well as consumer electronics, including headphones, smart speakers, and home automation and business management solutions. It also provides replace and repair services; Trade-In program through which it buys customers' used equipment; internet connections and all-home WI-FI services; TDS TV+, an integrated cloud television platform that offers video content; local and long-distance telephone service, VoIP, and enhanced services; and broadband, IP-based services, and hosted voice and video collaboration services. It sells its products through retail sales, direct sales, third-party retailers, and independent agents, as well as through ecommerce and telesales. As of December 31, 2020, the company offers its services to customers 5 million wireless connections, and 1.2 million wireline and cable connections. The company was incorporated in 1968 and is headquartered in Chicago, Illinois."
473,DuPont,DD,2.0,"DuPont de Nemours, Inc. provides technology-based materials, ingredients, and solutions in the United States, Canada, the Asia Pacific, Latin America, Europe, the Middle East, and Africa. The company's Electronics & Imaging segment supplies materials to manufacture photovoltaics and solar cells; materials and printing systems to the advanced printing industry; and materials and solutions for the fabrication of semiconductors and integrated circuits addressing front-end and back-end of the manufacturing process. This segment also provides semiconductor and advanced packaging materials; dielectric and metallization solutions for chip packaging; and silicones for light emitting diode packaging and semiconductor applications; permanent and process chemistries for the fabrication of printed circuit boards to include laminates and substrates, electroless, and electrolytic metallization solutions, as well as patterning solutions, and materials and metallization processes for metal finishing, decorative, and industrial applications. In addition, it offers various materials to manufacture rigid and flexible displays for liquid crystal displays, advanced-matrix organic light emitting diode, and quantum dot applications. The Transportation & Advanced Polymers segment provides engineering resins, adhesives, silicones, lubricants, and parts to engineers and designers in the transportation, electronics, healthcare, industrial, and consumer end-markets. Its Safety & Construction segment provides engineered products and integrated systems for worker safety, water purification and separation, aerospace, energy, medical packaging, and building materials. The company was formerly known as DowDuPont Inc. and changed its name to DuPont de Nemours, Inc. in June 2019. DuPont de Nemours, Inc. is based in Wilmington, Delaware."
474,Durect Corp.,DRRX,4.0,"DURECT Corporation, a biopharmaceutical company, researches and develops medicines based on its epigenetic regulator and pharmaceutical programs. The company offers ALZET product line that consists of osmotic pumps and accessories used for research in mice, rats, and other laboratory animals. It also develops DUR-928, an endogenous, orally bioavailable small molecule that is in Phase IIb clinical trial to play a regulatory role in lipid homeostasis, inflammation, and cell survival, as well as completed Phase Ib clinical trial to treat patients with nonalcoholic steatohepatitis. In addition, the company offers POSIMIR, a post-surgical pain product to deliver bupivacaine up to days of in adults. It markets and sells its ALZET lines through direct sales force in the United States, as well as through a network of distributors in Japan, Europe, and internationally. The company has strategic collaboration and other agreements with Virginia Commonwealth University Intellectual Property Foundation; Indivior UK Ltd.; Santen Pharmaceutical Co., Ltd.; Sandoz AG; and Gilead Sciences, Inc. DURECT Corporation was incorporated in 1998 and is headquartered in Cupertino, California."
475,Dyadic International,dyai,4.0,"Dyadic International, Inc., a biotechnology platform company, develops, produces, and sells enzymes and other proteins in the United States. The company utilizes its patented and proprietary C1 technology and other technologies to conduct research, development, and commercial activities for the development and manufacturing of human and animal vaccines and drugs, such as virus like particles and antigens, monoclonal antibodies, fab antibody fragments, Fc-fusion proteins, biosimilars and/or biobetters, and other therapeutic enzymes and proteins. It offers DYAI-100, SARS-CoV-2-S-RBD antigen vaccine candidate towards a first-in-human Phase 1 clinical trial, is to validate to serve as proof of concept for the development of next generation multivariant COVID-19 vaccine candidates. The company has a research and development agreement with VTT Technical Research Centre of Finland, Ltd.; strategic research services agreement with Biotechnology Developments for Industry in Pharmaceuticals, S.L.U.; and research collaborations with Jiangsu Hengrui Medicine, Serum Institute of India Pvt., Ltd., and WuXi Biologics. It also has a collaboration with TurtleTree Scientific Pte. Ltd. to develop various recombinant protein growth factors; and a partnership agreement with Medytox, Inc. and Syngene International Limited to develop COVID-19 vaccines and/or boosters. The company was founded in 1979 and is headquartered in Jupiter, Florida."
476,Dynasil,dysl,4.0,"Dynasil Corporation of America develops, markets, manufactures, and sells detection, sensing, and analysis technology and optical components in the United States, Asia, Europe, and internationally. It operates through Optics, Innovation and Development, and Biomedical segments. The Optics segment supplies synthetic crystals, optical materials, components, and coatings that are used in devices, such as baggage scanners, medical imaging systems, optical instruments, lasers, analytical instruments, automotive components, semiconductor/electronic devices, spacecraft/aircraft components, and advertising displays in the medical, industrial, and homeland security/defense sectors. The Innovation and Development segment develops advanced technology in materials, sensors, and prototype instruments that detect or measure radiation, light, magnetism, or sound for use in security, medical, and industrial applications. The Biomedical segment engages in the development of tissue sealant products. The company distributes its products through direct sales and marketing staff, as well as through manufacturer's representatives and distributors. Dynasil Corporation of America was founded in 1960 and is headquartered in Newton, Massachusetts."
477,Dynatronics Corporation,DYNT,4.0,"Dynatronics Corporation, a medical device company, designs, manufactures, and sells physical therapy, rehabilitation, orthopedics, pain management, and athletic training products in the United States. It offers orthopedic soft bracing products, which include cervical collars, shoulder immobilizers, arm slings, wrist and elbow supports, abdominal and lumbosacral supports, maternity supports, knee immobilizers and supports, ankle walkers and supports, plantar fasciitis splints, and cold therapy products. The company also provides power and manually operated treatment tables, mat platforms, work tables, parallel bars, training stairs, weight racks, treadmills, recumbent bikes, and other related equipment. In addition, it offers therapeutic modality devices, such as electrotherapy, ultrasound, phototherapy, therapeutic lasers, shortwave diathermy, radial pulse therapy, hot and cold therapy, compression therapy, and electrodes. Further, the company provides clinical supplies, including exercise bands and tubing, topical analgesics, lotions and gels, orthopedic bracing, paper products, athletic tapes, and other related supplies. It markets its products under the Bird & Cronin, Solaris, Hausmann, Physician's Choice, and PROTEAM brands. The company sells its products to orthopedists, physical therapists, chiropractors, and athletic trainers, sports medicine practitioners, hospitals, clinics, and consumers, as well as online. It also exports its products to approximately 30 countries. The company was founded in 1979 and is headquartered in Eagan, Minnesota."
479,E-TEK Dynamics,ETEK,4.0,"Eco-Tek Group, Inc. manufactures and distributes synthetic lubricants, filtration systems, and other products in North America. The company offers synthetic base motor oil, fuel treatment products, engine flush products, synthetic oil stabilizers, bypass and magnetic oil filtration products, hand cleaners, and non-toxic lubricants. Its products are used in cars, vans, sport utility vehicles, light trucks, heavy-duty industrial equipment, commercial and heavy transport vehicles, farm equipment, 4-cylinder lawn and garden equipment, compressors, and generators. The company markets and sells its products under the Eco-Tek brand name through independent sales agents and distributors, as well as through auto centers and oil change businesses. Eco-Tek Group, Inc. was founded in 2005 and is based in Woodbridge, Canada."
480,Eagle Pharmaceuticals,EGRX,4.0,"Eagle Pharmaceuticals, Inc., a biotechnology pharmaceutical company, focuses on developing and commercializing injectable products primarily in the metabolic critical care and oncology areas in the United States. The company offers Ryanodex for malignant hyperthermia; and Belrapzo and Bendeka for chronic lymphocytic leukemia and indolent B-cell non-Hodgkin's lymphoma. Its product candidates also includes EP-4104, a dantrolene sodium for exertional heat stroke, as well as to treat organophosphate exposure; EP-5101 (PEMFEXY) for lung cancer and mesothelioma; EGL-5385-C-1701 (fulvestrant) for breast cancer; and Vasopressin injection, which is indicated to enhance blood pressure in adults with vasodilatory shock. The company has a strategic collaboration with Tyme Technologies, Inc. to advance oral SM-88 for the treatment of patients with cancer. Eagle Pharmaceuticals, Inc. was incorporated in 2007 and is headquartered in Woodcliff Lake, New Jersey."
481,EarthLink,v1,2.0,
482,EasyLink,ESYL,4.0,"Easylink Solutions Corp., a development stage company, provides IT related management and services to small to medium sized corporate entities in Hong Kong. The company collects, manages, and transmits uninterrupted digital information, as well as manufactures hard drives and solid state drives, including external and portable storage devices. Its products include home digital media center that enables the user to play various digital media to television screen, as well as plays various picture and audio formats. Easylink Solutions Corp. sells its products through a networked group of independent and company-owned dealers, as well as retail and Web-based channels. The company was formerly known as AlgoDyne Ethanol Energy Corp. and changed its name to Easylink Solutions Corp. in November 2008. Easylink Solutions Corp. was incorporated in 2004 and is based in Haifa, Israel."
483,eBay,EBAY,4.0,"eBay Inc. operates marketplace platforms that connect buyers and sellers worldwide. The company's Marketplace platform includes its online marketplace at ebay.com and the eBay suite of mobile apps. Its platforms enable users to list, buy, sell, and pay for items through various online, mobile, and offline channels that include retailers, distributors, liquidators, import and export companies, auctioneers, catalog and mail-order companies, classifieds, directories, search engines, commerce participants, shopping channels, and networks. eBay Inc. has a strategic partnership with Bidadoo, Inc. to transform heavy equipment industry. The company was founded in 1995 and is headquartered in San Jose, California."
484,Ebix,ebix,4.0,"Ebix, Inc., together with its subsidiaries, provides on-demand software and e-commerce services and solutions to insurance, financial, healthcare, and e-learning industries in the United States and internationally. It develops and deploys insurance and reinsurance exchanges; provides Software-as-a-Service (SaaS) enterprise solutions in the area of customer relationship management, and front-end and back-end systems; and offers outsourced administrative and risk compliance solutions. The company operates P&C exchanges primarily in Australia, New Zealand, the United Kingdom, and the United States, which facilitates the exchange of insurance data between brokers and insurance carriers with a focus on the areas of personal and commercial lines. Its exchange related products and services include travel exchanges and money transfer services; foreign exchange and outward remittance services; payment services; gift cards for consumers that can be redeemed at various merchants; and technology services for various providers in the areas of lending, wealth and asset management, and travel. The company's insurance exchanges related products and services include SaaS platform and related services; licensing of software; and professional services comprising setting up, customization, training, or consulting. Its risk compliance services cover and certificates of insurance creation and tracking; consulting services comprising project management and development; and business process outsourcing services, including domain intensive project management, system consulting services, and claims adjudication/settlement services. The company was formerly known as Delphi Systems, Inc. and changed its name to Ebix, Inc. in December 2003. Ebix, Inc. was founded in 1976 and is headquartered in Johns Creek, Georgia."
485,Echelon,Elon,4.0,
486,Echo Global Logistics,ECHO,4.0,"Echo Global Logistics, Inc. provides technology-enabled transportation and supply chain management solutions in the United States. It utilizes a proprietary technology platform to compile and analyze data from its multi-modal network of transportation providers for the transportation and logistics needs. The company offers services in various transportation modes, such as truckload, less-than truckload, small parcel, domestic air, and expedited and international. It also provides various transportation management and logistics services, which include rate negotiation; procurement of transportation; shipment execution and tracking; carrier management, selection, reporting, and compliance; executive dashboard presentations and detailed shipment reports; freight bill payment and audit; claims processing and service refund management; design and management of inbound client freight programs; individually configured web portals and self-service data warehouses; enterprise resource planning integration with transactional shipment data; and integration of shipping applications into client e-commerce sites, as well as back-end reports customized to the internal reporting needs of the business. The company serves manufacturing, construction, food and beverage, consumer products, and retail industries. Echo Global Logistics, Inc. was founded in 2005 and is headquartered in Chicago, Illinois."
487,Echo Therapeutics,ECTE,4.0,
489,Egalet,EGLTQ,5.0,
492,Eleven Biotherapeutics,EBIO,4.0,
